Time,Open,High,Low,Close,Volume,OpenInterest,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-06-30 19:00,594.75,598.75,593.5,598.75,671.0,0,598.75,598.75,5.25,Neutral,0.0,5.25,658.0,590.5,694.284082325634,696.75
2026-06-30 20:00,598.0,598.0,593.75,595.0,1899.0,0,598.4090909090909,598.6029411764706,4.25,Bearish,0.0,5.216666666666667,658.0,590.5,694.284082325634,696.75
2026-06-30 21:00,595.0,597.5,593.25,596.25,1876.0,0,598.2128099173553,598.5106689734718,4.25,Bearish,2.499999999999986,5.087777777777778,658.0,590.5,694.284082325634,696.75
2026-06-30 22:00,596.0,596.75,590.5,594.0,2337.0,0,597.8298271975957,598.3337799941199,6.25,Bearish,2.3844460748349263,5.242740740740741,658.0,590.5,694.284082325634,696.75
2026-06-30 23:00,594.25,610.75,594.0,601.5,7509.0,0,598.1634792705415,598.4579454845467,16.75,Bearish,16.276199235200153,6.777041975308642,658.0,590.5,694.284082325634,696.75
2026-07-01 00:00,601.25,607.25,601.0,606.0,1748.0,0,598.8758902459468,598.75371232829,6.25,Bullish,23.326672645372923,6.7067697119341565,658.0,590.5,694.284082325634,696.75
2026-07-01 01:00,606.0,606.0,602.75,603.0,2132.0,0,599.2508093144971,598.9202334134551,3.25,Bullish,21.996764710611032,6.245867083676269,658.0,590.5,694.284082325634,696.75
2026-07-01 07:00,603.5,608.25,602.5,606.75,351.0,0,599.93255392227,599.2272830835157,5.75,Bullish,27.55660449457362,6.179751472519433,658.0,590.5,694.284082325634,696.75
2026-07-01 08:00,606.75,608.0,605.25,607.75,75.0,0,600.6432308384273,599.561507276319,2.75,Bullish,29.00972599587861,5.7224512761835085,658.0,590.5,694.284082325634,696.75
2026-07-01 09:00,608.25,610.75,608.0,610.75,110.0,0,601.5620280349339,600.0002716968556,2.75,Bullish,33.330263764536895,5.359457772692375,658.0,590.5,694.284082325634,696.75
2026-07-01 10:00,611.0,613.25,611.0,613.25,406.0,0,602.6245709408489,600.5198688852142,2.25,Bullish,36.783097025498755,4.978196736333391,658.0,590.5,694.284082325634,696.75
2026-07-01 11:00,613.5,613.5,612.0,612.25,259.0,0,603.4996099462262,600.9798740269706,1.5,Bullish,35.98038937312718,4.5144371714889395,658.0,590.5,694.284082325634,696.75
2026-07-01 12:00,612.5,613.0,611.75,612.0,165.0,0,604.2723726783875,601.4120358298345,1.25,Bullish,35.77022674264339,4.079178881957081,658.0,590.5,694.284082325634,696.75
2026-07-01 13:00,611.75,612.25,609.25,609.5,359.0,0,604.7476115258067,601.7292108953312,3.0,Bullish,33.65331766571789,3.935288364362804,658.0,590.5,694.284082325634,696.75
2026-07-01 14:00,609.5,609.75,607.5,609.75,476.0,0,605.2023741143697,602.0437516445339,2.25,Bullish,34.07348791167621,3.7105832491144297,658.0,590.5,694.284082325634,696.75
2026-07-01 15:00,609.5,610.5,608.0,609.0,486.0,0,605.5476128312451,602.3165456976894,2.5,Bullish,33.39031207048478,3.549172149232506,658.0,590.5,694.284082325634,696.75
2026-07-01 16:00,609.25,609.75,608.25,608.25,136.0,0,605.793284392041,602.549230180133,1.5,Bullish,32.68457419947211,3.2759491960015055,658.0,590.5,694.284082325634,696.75
