Time,Open,High,Low,Close,Volume,OpenInterest,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-08-28 11:00,536.25,536.5,535.75,536.25,433.0,0,536.25,536.25,0.75,Neutral,0.0,0.75,527.75,523.25,533.5,549.75
2026-08-28 12:00,536.0,536.0,534.25,535.75,1252.0,0,536.2045454545455,536.2303921568628,1.75,Bearish,0.0,0.9166666666666667,527.75,523.25,533.5,549.75
2026-08-28 13:00,536.0,538.25,535.0,535.25,3449.0,0,536.1177685950413,536.1919454056133,3.25,Bearish,0.0,1.2277777777777779,527.75,523.25,533.5,549.75
2026-08-28 14:00,535.25,537.0,534.25,537.0,3310.0,0,536.1979714500376,536.2236338210794,2.75,Bearish,21.212121212121204,1.4307407407407409,527.75,523.25,533.5,549.75
2026-08-28 15:00,537.0,537.75,535.25,535.5,2350.0,0,536.1345195000341,536.1952560241743,2.5,Bearish,17.738791423001942,1.5733086419753086,527.75,523.25,533.5,549.75
2026-08-28 16:00,535.5,539.5,535.5,539.0,4185.0,0,536.3950177273038,536.3052459840106,4.0,Bullish,41.71889939445448,1.896867489711934,527.75,523.25,533.5,549.75
2026-08-28 17:00,539.0,541.25,539.0,539.25,7445.0,0,536.6545615702761,536.4207265336573,2.25,Bullish,42.99713059394307,1.9439518244170095,527.75,523.25,533.5,549.75
2026-08-28 18:00,539.25,541.0,538.0,538.5,4964.0,0,536.822328700251,536.5022666695924,3.0,Bullish,40.15204536672721,2.084758247828075,527.75,523.25,533.5,549.75
2026-08-28 19:00,538.5,540.5,537.75,539.25,7507.0,0,537.0430260911372,536.6100209178436,2.75,Bullish,44.133073695013806,2.1734571481176648,527.75,523.25,533.5,549.75
2026-08-28 20:00,539.0,541.0,535.5,536.5,35242.0,0,536.993660082852,536.6057063720458,5.5,Bullish,34.95232433699236,2.6169961950353096,527.75,523.25,533.5,549.75
2026-08-28 21:00,536.5,537.5,533.25,537.25,41934.0,0,537.0169637116836,536.6309727888283,4.25,Bullish,38.69776984357519,2.8347300356972687,527.75,523.25,533.5,549.75
2026-08-28 22:00,537.0,540.5,536.25,539.25,35266.0,0,537.2199670106214,536.733679738286,4.25,Bullish,47.39622325499362,3.0234326976042993,527.75,523.25,533.5,549.75
2026-08-28 23:00,539.25,540.25,535.0,536.75,33530.0,0,537.1772427369285,536.7343197485493,5.25,Bullish,39.79491940220164,3.320308337923726,527.75,523.25,533.5,549.75
2026-08-29 00:00,536.5,536.75,532.0,536.0,42661.0,0,537.070220669935,536.705522895665,4.75,Bullish,37.834545912774594,3.5109338928672296,527.75,523.25,533.5,549.75
2026-08-29 01:00,536.0,537.0,533.25,536.25,31511.0,0,536.9956551544864,536.6876592526977,3.75,Bullish,38.914762609955105,3.5428093738182658,527.75,523.25,533.5,549.75
2026-08-31 07:00,536.0,536.75,533.0,536.5,18645.0,0,536.9505955949876,536.6803000663174,3.75,Bullish,40.036860694104575,3.570434790642497,527.75,523.25,533.5,549.75
2026-08-31 08:00,536.5,542.0,535.5,540.75,11138.0,0,537.2959959954433,536.8398961421482,6.5,Bullish,55.12752046622482,3.9610434852234975,527.75,523.25,533.5,549.75
2026-08-31 09:00,540.75,540.75,538.5,538.75,2133.0,0,537.4281781776757,536.9148021757894,2.25,Bullish,48.89181269538399,3.7329043538603646,527.75,523.25,533.5,549.75
2026-08-31 10:00,538.75,539.25,538.5,538.5,547.0,0,537.5256165251598,536.9769667963467,0.75,Bullish,48.15850708646953,3.3351837733456495,527.75,523.25,533.5,549.75
2026-08-31 11:00,538.5,538.75,537.75,538.25,997.0,0,537.591469568327,537.0268896670782,1.0,Bullish,47.39300253929176,3.023825936899563,527.75,523.25,533.5,549.75
2026-08-31 12:00,538.0,539.0,536.25,538.25,2364.0,0,537.6513359712063,537.0748547781732,2.75,Bullish,47.39300253929176,2.987315811979621,527.75,523.25,533.5,549.75
2026-08-31 13:00,538.25,539.0,537.25,537.25,1550.0,0,537.6148508829149,537.0817232182449,1.75,Bullish,44.13824125286229,2.822340370382338,527.75,523.25,533.5,549.75
2026-08-31 14:00,537.25,539.0,536.5,537.0,2595.0,0,537.5589553481044,537.0785183861568,2.5,Bullish,43.33695443664723,2.77936165433136,527.75,523.25,533.5,549.75
2026-08-31 15:00,537.0,540.5,537.0,539.0,3184.0,0,537.6899594073676,537.1538706063076,3.5,Bullish,51.00064569895496,2.875446767087179,527.75,523.25,533.5,549.75
2026-08-31 16:00,539.0,539.25,537.0,538.75,2096.0,0,537.7863267339706,537.2164639158642,2.25,Bullish,50.0886926497141,2.792053864808888,527.75,523.25,533.5,549.75
2026-08-31 17:00,538.5,539.0,536.0,536.25,3286.0,0,537.6466606672459,537.178563370144,3.0,Bullish,42.000742643113426,2.819780016167703,527.75,523.25,533.5,549.75
2026-08-31 18:00,536.0,536.75,534.5,534.75,5307.0,0,537.3833278793144,537.0833255909228,2.25,Bullish,38.03257157219363,2.7438093473453424,527.75,523.25,533.5,549.75
2026-08-31 19:00,535.0,536.25,532.0,532.25,15719.0,0,536.9166617084676,536.8937834108866,4.25,Bullish,32.51822908034859,2.9446347676992968,527.75,523.25,533.5,549.75
2026-08-31 20:00,532.0,538.75,531.5,537.5,32194.0,0,536.9696924622432,536.9175566104598,7.25,Bullish,49.181604301869456,3.518683465339391,527.75,523.25,533.5,549.75
2026-08-31 21:00,537.5,539.0,534.25,536.25,30745.0,0,536.9042658747665,536.8913779198535,4.75,Bullish,46.25305640273453,3.682859003294139,527.75,523.25,533.5,549.75
2026-08-31 22:00,536.25,537.75,533.0,533.0,30174.0,0,536.5493326134241,536.738774864173,4.75,Bearish,39.64340414024842,3.8251444695215873,527.75,523.25,533.5,549.75
2026-08-31 23:00,533.25,537.5,532.75,537.25,22783.0,0,536.6130296485674,536.7588229087153,4.75,Bearish,49.755030527042045,3.9484585402520422,527.75,523.25,533.5,549.75
2026-09-01 00:00,537.5,539.75,536.75,538.5,22688.0,0,536.7845724077885,536.8271043632755,3.0,Bearish,52.28689095039184,3.82199740155177,527.75,523.25,533.5,549.75
2026-09-01 01:00,538.25,538.75,537.0,537.5,16308.0,0,536.8496112798076,536.8534924274608,1.75,Bearish,50.11139472430592,3.5457310813448677,527.75,523.25,533.5,549.75
2026-09-01 07:00,537.25,539.75,535.0,537.0,10983.0,0,536.8632829816434,536.8592378224623,4.75,Bullish,49.0133139923447,3.706300270498885,527.75,523.25,533.5,549.75
2026-09-01 08:00,537.0,537.5,535.0,535.5,1494.0,0,536.7393481651303,536.8059343784442,2.5,Bearish,45.77281883196602,3.5454602344323676,527.75,523.25,533.5,549.75
2026-09-01 09:00,535.5,537.0,535.5,536.75,1019.0,0,536.7403165137548,536.8037408734072,1.5,Bearish,48.81010020003386,3.272732203174719,527.75,523.25,533.5,549.75
2026-09-01 10:00,536.25,536.75,536.25,536.5,152.0,0,536.7184695579589,536.7918294666068,0.5,Bearish,48.228285753116715,2.9030345760847567,527.75,523.25,533.5,549.75
2026-09-01 11:00,536.5,537.75,536.0,537.5,610.0,0,536.7895177799626,536.8196008600733,1.75,Bearish,50.75680187515105,2.7492966326067894,527.75,523.25,533.5,549.75
2026-09-01 12:00,537.5,539.0,537.0,538.25,1814.0,0,536.922288890875,536.875694943992,2.0,Bullish,52.625601910056524,2.6493904149258842,527.75,523.25,533.5,549.75
2026-09-01 13:00,538.0,539.25,537.0,538.75,1876.0,0,537.08844444625,536.9491971030511,2.25,Bullish,53.88214984590539,2.596138359602433,527.75,523.25,533.5,549.75
2026-09-01 14:00,538.75,542.75,538.75,542.25,7898.0,0,537.5576767693182,537.1570717264609,4.0,Bullish,61.56680773195617,2.783319911655442,527.75,523.25,533.5,549.75
2026-09-01 15:00,542.5,543.75,539.5,540.5,5075.0,0,537.8251606993801,537.2881669528742,4.25,Bullish,56.497599115125574,2.97887725676805,527.75,523.25,533.5,549.75
2026-09-01 16:00,540.25,540.75,538.0,538.0,3886.0,0,537.8410551812547,537.3160819743301,2.75,Bullish,50.14556657035203,2.948360289198977,527.75,523.25,533.5,549.75
2026-09-01 17:00,538.25,539.0,536.25,536.5,3270.0,0,537.7191410738678,537.2840787596505,2.75,Bullish,46.74935834151822,2.9219122506391133,527.75,523.25,533.5,549.75
2026-09-01 18:00,536.75,537.25,534.5,535.0,6504.0,0,537.471946430789,537.1945070435858,2.75,Bullish,43.571401600333274,2.898990617220565,527.75,523.25,533.5,549.75
2026-09-01 19:00,535.0,537.0,534.25,536.75,5921.0,0,537.4063149370809,537.1770753948176,2.75,Bullish,48.011674185130715,2.8791252015911564,527.75,523.25,533.5,549.75
2026-09-01 20:00,536.25,542.5,536.25,542.25,31331.0,0,537.8466499428008,537.3760136146287,6.25,Bullish,58.94566519859244,3.3285751747123355,527.75,523.25,533.5,549.75
2026-09-01 21:00,542.25,545.0,541.5,543.75,38381.0,0,538.3833181298189,537.6259738650355,3.5,Bullish,61.33410448737818,3.3514318180840243,527.75,523.25,533.5,549.75
2026-09-01 22:00,544.0,547.25,541.75,543.75,42860.0,0,538.8711982998353,537.8661317526812,5.5,Bullish,61.33410448737818,3.637907575672821,527.75,523.25,533.5,549.75
2026-09-01 23:00,543.75,547.25,543.0,545.5,29783.0,0,539.4738166362139,538.1654991349291,4.25,Bullish,64.155680068831,3.7195198989164453,527.75,523.25,533.5,549.75
2026-09-02 00:00,545.5,548.0,544.25,546.25,29158.0,0,540.089833305649,538.4825383845397,3.75,Bullish,65.32358035094104,3.7235839123942527,527.75,523.25,533.5,549.75
2026-09-02 01:00,546.25,547.0,545.25,545.5,23715.0,0,540.581666641499,538.757732957695,1.75,Bullish,63.10914799367411,3.4604393907416857,527.75,523.25,533.5,549.75
2026-09-02 07:00,545.75,549.0,542.5,544.0,24091.0,0,540.8924242195446,538.9633120573933,6.5,Bullish,58.81483218474521,3.8657141386427942,527.75,523.25,533.5,549.75
2026-09-02 08:00,544.0,544.0,538.5,539.5,8982.0,0,540.765840199586,538.9843586433778,5.5,Bullish,48.215184428273524,4.083618920157089,527.75,523.25,533.5,549.75
2026-09-02 09:00,539.75,541.25,536.25,536.5,11552.0,0,540.3780365450782,538.8869328142257,5.0,Bullish,42.69138118185834,4.205803064136144,527.75,523.25,533.5,549.75
2026-09-02 10:00,536.5,537.75,536.5,537.25,2992.0,0,540.0936695864348,538.8227393705306,1.25,Bullish,44.40615089648475,3.8116959889179913,527.75,523.25,533.5,549.75
2026-09-02 11:00,537.25,538.0,536.75,536.75,2042.0,0,539.7896996240315,538.741455473647,1.25,Bullish,43.47226975987891,3.4701365237289257,527.75,523.25,533.5,549.75
2026-09-02 12:00,536.75,538.75,536.5,538.5,2473.0,0,539.672454203665,538.7319866315432,2.25,Bullish,47.62403898355008,3.307451653898402,527.75,523.25,533.5,549.75
2026-09-02 13:00,538.5,538.75,537.25,537.75,2078.0,0,539.4976856396954,538.6934773518749,1.5,Bullish,46.062589616842885,3.066458100045282,527.75,523.25,533.5,549.75
2026-09-02 14:00,538.0,538.25,536.75,537.25,3689.0,0,539.2933505815413,538.6368703968994,1.5,Bullish,45.00324101722405,2.8575970200392447,527.75,523.25,533.5,549.75
2026-09-02 15:00,537.25,537.75,536.5,537.0,2391.0,0,539.0848641650375,538.5726794009425,1.25,Bullish,44.45275797446371,2.6432507507006786,527.75,523.25,533.5,549.75
2026-09-02 16:00,537.0,538.0,536.0,538.0,3842.0,0,538.9862401500341,538.5502213852194,2.0,Bullish,47.2331497764049,2.557483983940588,527.75,523.25,533.5,549.75
2026-09-02 17:00,537.75,538.75,537.5,538.5,2592.0,0,538.942036500031,538.5482519191324,1.25,Bullish,48.618019827967395,2.383152786081843,527.75,523.25,533.5,549.75
2026-09-02 18:00,538.25,538.75,537.0,537.75,3854.0,0,538.8336695454827,538.5169479223038,1.75,Bullish,46.64064787617843,2.298732414604264,527.75,523.25,533.5,549.75
2026-09-02 19:00,537.5,538.25,536.5,537.75,5363.0,0,538.735154132257,538.4868715331938,1.75,Bullish,46.64064787617843,2.2255680926570287,527.75,523.25,533.5,549.75
2026-09-02 20:00,538.0,541.75,537.5,541.0,27851.0,0,538.9410492111426,538.5854255907157,4.25,Bullish,55.69634907333922,2.4954923469694252,527.75,523.25,533.5,549.75
2026-09-02 21:00,540.75,548.0,540.5,546.75,37040.0,0,539.6509538283115,538.9056049793151,7.5,Bullish,66.52173986084736,3.1627600340401685,527.75,523.25,533.5,549.75
2026-09-02 22:00,546.75,549.75,544.75,545.25,38724.0,0,540.1599580257378,539.1544047840478,5.0,Bullish,62.248649305023946,3.4077253628348125,527.75,523.25,533.5,549.75
2026-09-02 23:00,545.25,548.5,545.25,547.75,21586.0,0,540.8499618415798,539.4914869493792,3.25,Bullish,66.1512536068646,3.386695314456838,527.75,523.25,533.5,549.75
2026-09-03 00:00,547.5,548.75,544.0,544.75,28378.0,0,541.2045107650725,539.6977031474428,4.75,Bullish,58.35531561855868,3.5684692725292595,527.75,523.25,533.5,549.75
2026-09-03 01:00,545.0,545.75,542.25,542.5,22480.0,0,541.3222825137024,539.8075971416607,3.5,Bullish,53.283441015600665,3.559340036192025,527.75,523.25,533.5,549.75
2026-09-03 07:00,542.5,542.75,540.25,542.25,8138.0,0,541.4066204670021,539.9033776459094,2.5,Bullish,52.735000896027586,3.4180946980330886,527.75,523.25,533.5,549.75
2026-09-03 08:00,542.0,542.0,539.75,540.75,3714.0,0,541.3469276972746,539.9365785225405,2.25,Bullish,49.44642560242306,3.295682071628677,527.75,523.25,533.5,549.75
2026-09-03 09:00,540.75,542.25,540.25,540.75,2432.0,0,541.2926615429769,539.9684774040095,2.0,Bullish,49.44642560242306,3.1229244620781866,527.75,523.25,533.5,549.75
2026-09-03 10:00,540.75,541.75,540.5,541.0,620.0,0,541.2660559481608,540.0089292705189,1.25,Bullish,50.048534688560075,2.873201200467762,527.75,523.25,533.5,549.75
2026-09-03 11:00,541.0,541.0,540.25,541.0,310.0,0,541.2418690437825,540.0477947893222,0.75,Bullish,50.048534688560075,2.5901077070720606,527.75,523.25,533.5,549.75
2026-09-03 12:00,540.75,541.25,538.75,538.75,1606.0,0,541.0153354943477,539.9969008760155,2.5,Bullish,44.51455880012243,2.5780933461291196,527.75,523.25,533.5,549.75
2026-09-03 13:00,538.75,541.75,538.75,540.25,3708.0,0,540.9457595403161,540.0068263318581,3.0,Bullish,48.59532695381069,2.634347566645237,527.75,523.25,533.5,549.75
2026-09-03 14:00,540.25,540.5,538.5,539.25,2828.0,0,540.7915995821055,539.9771468678637,2.0,Bullish,46.15805600646592,2.5497678910925385,527.75,523.25,533.5,549.75
2026-09-03 15:00,539.25,539.25,532.0,532.5,25688.0,0,540.0378178019141,539.683925422065,7.25,Bullish,33.82573123697014,3.1764655056135336,527.75,523.25,533.5,549.75
2026-09-03 16:00,532.25,533.75,530.0,530.0,11466.0,0,539.1252889108309,539.3041636408076,3.75,Bearish,30.568202440552938,3.252936771531729,527.75,523.25,533.5,549.75
2026-09-03 17:00,530.0,531.75,529.0,530.75,11837.0,0,538.3638990098464,538.968706243129,2.75,Bearish,32.66327466916262,3.185878535327499,527.75,523.25,533.5,549.75
2026-09-03 18:00,530.5,532.5,529.0,530.0,10411.0,0,537.6035445544057,538.6169922728102,3.5,Bearish,31.635266028015195,3.2277613972838326,527.75,523.25,533.5,549.75
