Time,Open,High,Low,Close,Volume,OpenInterest,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-02-25 00:00,610.5,613.0,602.0,606.5,5794,255781,606.5,606.5,11.0,Neutral,100.0,11.0,665.25,590.5,703.0,728.25
2026-02-26 00:00,607.0,611.75,604.75,610.75,5856,255781,606.8863636363636,606.6666666666667,7.0,Bullish,100.0,10.466666666666667,665.25,590.5,703.0,728.25
2026-02-27 00:00,610.0,630.5,609.25,626.75,11131,255781,608.6921487603306,607.4542483660132,21.25,Bullish,100.0,11.904444444444445,665.25,590.5,703.0,728.25
2026-03-02 00:00,634.0,637.5,612.5,615.25,10626,255781,609.288317054846,607.7599641163656,25.0,Bullish,85.19199816049667,13.65051851851852,665.25,590.5,703.0,728.25
2026-03-03 00:00,613.75,623.5,609.5,614.25,7699,255781,609.7393791407691,608.0144753274885,14.0,Bullish,84.02679646202962,13.697116049382718,665.25,590.5,703.0,728.25
2026-03-04 00:00,614.5,616.25,603.75,607.25,7898,255781,609.5130719461537,607.9844959028812,12.5,Bullish,76.1728943254603,13.537500576131688,665.25,590.5,703.0,728.25
2026-03-05 00:00,608.0,623.25,608.0,621.75,7169,255781,610.6255199510488,608.5243195929644,15.25,Bullish,80.28386287861734,13.865833832647462,665.25,590.5,703.0,728.25
2026-03-06 00:00,623.75,653.25,621.75,652.0,30604,255781,614.3868363191352,610.2292482363777,31.5,Bullish,85.7914802323767,16.21705598829447,665.25,590.5,703.0,728.25
2026-03-09 00:00,656.0,674.5,639.5,641.25,22402,255781,616.8289421083047,611.4457483055393,35.0,Bullish,77.50552882244779,18.721448523188542,665.25,590.5,703.0,728.25
2026-03-10 00:00,637.25,642.75,625.0,634.0,14375,255781,618.389947371186,612.3302287641455,17.75,Bullish,72.42508711127275,18.59192205343007,665.25,590.5,703.0,728.25
2026-03-11 00:00,635.75,645.25,631.5,636.5,12711,255781,620.0363157919874,613.2780629302575,13.75,Bullish,73.0803637156268,17.946332446306062,665.25,590.5,703.0,728.25
2026-03-12 00:00,640.0,652.25,636.75,639.25,10528,255781,621.7830143563522,614.296570266326,15.5,Bullish,73.81741945116035,17.65348812013192,665.25,590.5,703.0,728.25
2026-03-13 00:00,637.75,654.0,635.75,653.75,8868,255781,624.6891039603202,615.8437635892151,18.25,Bullish,77.3403517551375,17.733023037447666,665.25,590.5,703.0,728.25
2026-03-16 00:00,649.75,652.75,636.5,638.25,7763,255781,625.9219126912001,616.7224395268929,16.25,Bullish,66.96737293211098,17.668619965787975,665.25,590.5,703.0,728.25
2026-03-17 00:00,637.5,647.75,627.75,630.25,6823,255781,626.3153751738182,617.2529320944658,20.0,Bullish,62.3213915765953,17.979470637016245,665.25,590.5,703.0,728.25
2026-03-18 00:00,632.75,647.75,626.75,644.25,8031,255781,627.945795612562,618.3116406397809,21.0,Bullish,66.67817269332991,18.38220788541408,665.25,590.5,703.0,728.25
2026-03-19 00:00,647.75,654.5,641.25,650.0,14667,255781,629.9507232841473,619.5543213990052,13.25,Bullish,68.29946730558231,17.697913500692202,665.25,590.5,703.0,728.25
2026-03-20 00:00,649.25,650.75,637.25,637.75,6928,255781,630.659748440134,620.2678774225736,13.5,Bullish,61.440754787244174,17.138191700599908,665.25,590.5,703.0,728.25
2026-03-23 00:00,638.5,648.75,622.5,631.5,8262,255781,630.7361349455763,620.7083528177668,26.25,Bullish,58.22794258540852,18.353099473853256,665.25,590.5,703.0,728.25
2026-03-24 00:00,634.0,639.25,627.0,633.75,5295,255781,631.0101226777966,621.2197899621682,12.25,Bullish,59.0579567335781,17.53935287733949,665.25,590.5,703.0,728.25
2026-03-25 00:00,630.0,641.25,622.25,640.0,7680,255781,631.8273842525423,621.9562687871812,19.0,Bullish,61.355029693715224,17.734105827027555,665.25,590.5,703.0,728.25
2026-03-26 00:00,641.0,648.0,635.25,646.0,5218,255781,633.1158038659476,622.8991602072919,12.75,Bullish,63.473716115210294,17.06955838342388,665.25,590.5,703.0,728.25
2026-03-27 00:00,647.0,653.5,640.5,646.0,9818,255781,634.2870944235887,623.8050754932805,13.0,Bullish,63.473716115210294,16.526950598967364,665.25,590.5,703.0,728.25
2026-03-30 00:00,649.0,652.0,639.0,648.0,9747,255781,635.5337222032624,624.7538960621714,13.0,Bullish,64.23180279986389,16.05669051910505,665.25,590.5,703.0,728.25
2026-03-31 00:00,649.0,664.0,646.0,654.5,17460,255781,637.2579292756931,625.9204099420863,18.0,Bullish,66.6540814836427,16.315798449891044,665.25,590.5,703.0,728.25
2026-04-01 00:00,656.5,660.5,635.25,638.5,17431,255781,637.3708447960845,626.4137271992594,25.25,Bullish,56.50938721194284,17.507025323238906,665.25,590.5,703.0,728.25
2026-04-02 00:00,638.0,649.25,636.0,639.0,0,255781,637.5189498146223,626.9073065247786,13.25,Bullish,56.73101470347519,16.93942194680705,665.25,590.5,703.0,728.25
2026-04-06 00:00,640.0,640.75,630.25,637.5,8487,255781,637.5172271042021,627.322706268905,10.5,Bullish,55.812126633584654,16.080832353899446,665.25,590.5,703.0,728.25
2026-04-07 00:00,638.0,642.0,630.75,638.75,12708,255781,637.6292973674565,627.7708354348302,11.25,Bullish,56.44523948456543,15.43672137337952,665.25,590.5,703.0,728.25
2026-04-08 00:00,635.0,635.0,619.5,623.0,16030,255781,636.2993612431422,627.5837438491506,15.5,Bullish,47.25758276256453,15.945158523595584,665.25,590.5,703.0,728.25
2026-04-09 00:00,623.0,629.5,611.5,615.75,12468,255781,634.4312374937657,627.1196754629093,18.0,Bullish,43.729084128821825,16.219137387116174,665.25,590.5,703.0,728.25
2026-04-10 00:00,615.5,618.0,609.0,611.5,10578,255781,632.3465795397871,626.5071391702462,9.0,Bullish,41.76064818026036,15.256585735500684,665.25,590.5,703.0,728.25
2026-04-13 00:00,617.25,628.25,616.5,621.0,12890,255781,631.3150723088974,626.2911729282758,11.75,Bullish,47.45449566116788,15.455707637433928,665.25,590.5,703.0,728.25
2026-04-14 00:00,622.0,632.0,618.0,630.5,14466,255781,631.2409748262703,626.4562249703043,14.0,Bullish,52.45984687663699,15.261613285776072,665.25,590.5,703.0,728.25
2026-04-15 00:00,629.5,634.25,624.75,632.0,8583,255781,631.3099771147912,626.6736279126453,9.5,Bullish,53.21761045917934,14.49339818100593,665.25,590.5,703.0,728.25
2026-04-16 00:00,630.0,645.5,628.25,636.0,14963,255781,631.7363428316283,627.0393679945024,17.25,Bullish,55.26533149849917,14.860945090205139,665.25,590.5,703.0,728.25
2026-04-17 00:00,634.5,639.5,621.0,630.25,15728,255781,631.6012207560257,627.165275131973,18.5,Bullish,51.75813917104356,15.34615241151112,665.25,590.5,703.0,728.25
2026-04-20 00:00,635.25,642.5,629.5,637.5,12017,255781,632.1374734145688,627.5705584601309,13.0,Bullish,55.58539466857787,15.033332089976305,665.25,590.5,703.0,728.25
2026-04-21 00:00,637.0,645.75,634.0,644.5,14211,255781,633.2613394677899,628.234458128361,11.75,Bullish,58.97001154554517,14.595554477979464,665.25,590.5,703.0,728.25
2026-04-22 00:00,646.0,651.25,638.5,638.75,9642,255781,633.7603086070817,628.6468323194056,12.75,Bullish,55.24577492564755,14.349480547582202,665.25,590.5,703.0,728.25
2026-04-23 00:00,639.5,653.5,639.0,651.75,10833,255781,635.395735097347,629.5528388951151,14.5,Bullish,61.21038090178238,14.40288314123791,665.25,590.5,703.0,728.25
2026-04-24 00:00,653.0,656.5,644.0,649.5,13000,255781,636.6779409975882,630.3350805070714,12.5,Bullish,59.726701398927744,14.149165389072854,665.25,590.5,703.0,728.25
2026-04-27 00:00,650.0,662.75,649.5,661.25,18535,255781,638.9117645432619,631.5474302911078,13.25,Bullish,64.55809190738518,14.029276670529807,665.25,590.5,703.0,728.25
2026-04-28 00:00,660.5,690.0,659.0,689.0,33052,255781,643.4652404938745,633.8004722404762,31.0,Bullish,72.8438601315918,16.292039781125833,665.25,590.5,703.0,728.25
2026-04-29 00:00,688.0,703.5,684.5,686.5,32309,255781,647.3774913580677,635.8671203879085,19.0,Bullish,71.22827511139714,16.653101143642388,665.25,590.5,703.0,728.25
2026-04-30 00:00,685.5,692.0,671.25,673.0,27196,255781,649.706810325516,637.3233117452454,20.75,Bullish,63.09093824572154,17.19935432449007,665.25,590.5,703.0,728.25
2026-05-01 00:00,674.25,680.25,668.75,673.25,15800,255781,651.8471002959237,638.732201480726,11.5,Bullish,63.1748389190916,16.43944041455806,665.25,590.5,703.0,728.25
2026-05-04 00:00,670.0,679.5,667.5,677.5,22305,255781,654.1791820872033,640.2525073050112,12.0,Bullish,64.6461443243053,15.847515025950319,665.25,590.5,703.0,728.25
2026-05-05 00:00,678.5,685.75,660.75,665.0,18166,255781,655.1628928065485,641.2229972146187,25.0,Bullish,57.38415015599515,17.067846355823608,665.25,590.5,703.0,728.25
2026-05-06 00:00,664.75,665.5,644.0,654.0,19792,255781,655.0571752786805,641.7240561473787,21.5,Bullish,51.86290003729924,17.658800175047126,665.25,590.5,703.0,728.25
2026-05-07 00:00,654.75,655.25,641.75,648.25,22589,255781,654.4383411624367,641.9799755141482,13.5,Bullish,49.19816393676074,17.10429348504084,665.25,590.5,703.0,728.25
2026-05-08 00:00,649.5,656.5,644.75,655.0,19838,255781,654.4894010567606,642.4905647096718,11.75,Bullish,52.296766243247845,16.390387687035396,665.25,590.5,703.0,728.25
2026-05-11 00:00,657.5,671.5,656.0,670.0,19503,255781,655.899455506146,643.5693660936063,15.5,Bullish,58.37299072879297,16.405002662097345,665.25,590.5,703.0,728.25
2026-05-12 00:00,672.0,710.75,672.0,710.25,51884,255781,660.8404140964963,646.1842929134649,38.75,Bullish,69.57273706582878,19.651002307151032,665.25,590.5,703.0,728.25
2026-05-13 00:00,710.0,714.0,697.75,707.5,45483,255781,665.0821946331785,648.5888304462702,16.25,Bullish,68.22218877392986,19.19753533286423,665.25,590.5,703.0,728.25
2026-05-14 00:00,705.0,718.0,684.25,691.0,37796,255781,667.438358757435,650.2520135660244,33.75,Bullish,60.6186895489187,21.137863955149,665.25,590.5,703.0,728.25
2026-05-15 00:00,690.75,696.25,665.25,669.75,19269,255781,667.6485079613045,651.0166404850038,31.0,Bullish,52.50289924999106,22.4528154277958,665.25,590.5,703.0,728.25
2026-05-18 00:00,679.75,697.75,679.0,696.25,26626,255781,670.2486436011859,652.7904977208859,18.75,Bullish,59.74148392545591,23.19244003742303,665.25,590.5,703.0,728.25
2026-05-19 00:00,697.0,708.75,692.75,698.75,22121,255781,672.839676001078,654.5928311435963,16.0,Bullish,60.35531705637438,22.23344803243329,665.25,590.5,703.0,728.25
2026-05-20 00:00,699.25,703.25,687.0,692.25,20342,255781,674.604250910071,656.0695828634553,16.25,Bullish,57.88410553285954,21.435654961442186,665.25,590.5,703.0,728.25
2026-05-21 00:00,692.25,692.25,678.25,680.75,17998,255781,675.1629553727918,657.0374423590061,14.0,Bullish,53.695213869832685,20.444234299916562,665.25,590.5,703.0,728.25
