Time,Open,High,Low,Close,Volume,OpenInterest
2026-08-05 23:00,664.0,666.5,660.75,662.5,2941.0,0
2026-08-06 07:00,662.5,665.75,659.0,660.5,597.0,0
2026-08-06 11:00,660.25,664.5,657.75,659.25,815.0,0
2026-08-06 15:00,659.75,667.5,659.75,660.25,2782.0,0
2026-08-06 19:00,660.5,664.25,649.25,649.5,9742.0,0
2026-08-06 23:00,649.5,651.25,646.0,649.5,8413.0,0
2026-08-07 07:00,650.0,650.75,647.75,650.75,1129.0,0
2026-08-07 11:00,650.5,654.75,650.25,653.25,673.0,0
2026-08-07 15:00,653.5,656.75,650.5,654.0,1744.0,0
2026-08-07 19:00,653.75,664.25,653.5,663.25,9275.0,0
2026-08-07 23:00,663.25,663.25,656.5,656.5,6227.0,0
2026-08-10 07:00,661.75,670.75,658.75,670.5,2689.0,0
2026-08-10 11:00,670.25,672.5,669.0,671.5,1058.0,0
2026-08-10 15:00,671.75,674.5,664.25,669.25,2628.0,0
2026-08-10 19:00,669.5,670.25,661.5,662.0,9218.0,0
2026-08-10 23:00,662.25,663.5,658.0,658.5,4897.0,0
2026-08-11 07:00,658.0,663.25,656.75,660.75,694.0,0
2026-08-11 11:00,661.0,663.75,659.5,662.5,480.0,0
2026-08-11 15:00,662.0,665.0,655.75,656.0,2347.0,0
2026-08-11 19:00,656.25,656.75,646.75,648.25,13489.0,0
2026-08-11 23:00,648.5,650.25,645.25,648.0,5898.0,0
2026-08-12 07:00,650.0,652.75,649.0,652.5,1513.0,0
2026-08-12 11:00,652.5,668.0,652.0,666.75,5473.0,0
2026-08-12 15:00,667.0,670.5,663.75,664.75,5422.0,0
2026-08-12 19:00,664.75,671.75,660.5,668.75,14176.0,0
2026-08-12 23:00,669.0,674.25,664.0,669.75,11862.0,0
2026-08-13 07:00,670.0,672.25,666.75,669.0,1483.0,0
2026-08-13 11:00,669.25,672.0,664.75,667.0,1713.0,0
2026-08-13 15:00,667.25,676.25,666.5,672.75,3117.0,0
2026-08-13 19:00,673.0,681.25,661.75,669.75,27392.0,0
2026-08-13 23:00,669.75,672.5,666.25,668.5,5620.0,0
2026-08-14 07:00,668.25,675.0,667.5,671.75,1323.0,0
2026-08-14 11:00,671.75,680.5,671.5,679.25,3060.0,0
2026-08-14 15:00,679.5,683.25,677.5,681.0,3630.0,0
2026-08-14 19:00,681.25,691.0,677.0,690.25,23992.0,0
2026-08-14 23:00,690.25,692.0,684.0,689.0,11579.0,0
2026-08-17 07:00,692.75,695.0,687.0,688.5,3241.0,0
2026-08-17 11:00,688.75,692.25,687.0,687.75,2340.0,0
2026-08-17 15:00,687.5,688.5,680.75,684.0,4276.0,0
2026-08-17 19:00,683.75,690.25,680.75,689.75,16953.0,0
2026-08-17 23:00,689.5,692.25,688.25,689.25,7307.0,0
2026-08-18 07:00,687.75,692.75,687.5,688.75,1234.0,0
2026-08-18 11:00,689.25,696.5,686.5,694.75,2736.0,0
2026-08-18 15:00,694.5,695.75,688.25,688.75,3304.0,0
2026-08-18 19:00,689.0,692.5,682.25,686.25,17982.0,0
2026-08-18 23:00,686.0,687.0,677.0,677.0,10704.0,0
2026-08-19 07:00,678.5,684.25,677.25,683.0,1998.0,0
2026-08-19 11:00,683.0,686.75,682.75,684.75,1328.0,0
2026-08-19 15:00,685.0,685.25,680.25,682.0,3281.0,0
2026-08-19 19:00,682.0,700.25,680.5,696.0,25232.0,0
2026-08-19 23:00,696.0,698.0,691.75,696.5,10570.0,0
2026-08-20 07:00,697.0,699.75,693.0,699.0,1763.0,0
2026-08-20 11:00,699.25,701.5,696.0,701.25,2344.0,0
2026-08-20 15:00,701.25,706.5,697.75,704.0,6321.0,0
2026-08-20 19:00,704.0,708.75,700.25,701.5,22132.0,0
2026-08-20 23:00,701.75,704.5,695.5,699.5,13084.0,0
2026-08-21 07:00,699.0,705.0,697.75,703.5,1422.0,0
2026-08-21 11:00,703.5,705.0,701.0,702.25,1139.0,0
2026-08-21 15:00,702.5,703.5,692.25,694.0,5876.0,0
2026-08-21 19:00,694.0,702.5,693.5,697.75,15409.0,0
2026-08-21 23:00,698.0,700.5,694.5,700.0,10319.0,0
2026-08-24 07:00,704.75,713.25,704.25,711.0,6105.0,0
2026-08-24 11:00,711.0,712.25,706.0,710.0,2689.0,0
2026-08-24 15:00,710.0,715.0,706.25,712.75,3620.0,0
2026-08-24 19:00,712.75,713.0,696.5,702.75,31851.0,0
2026-08-24 23:00,702.75,708.25,698.5,700.75,9800.0,0
2026-08-25 07:00,702.0,703.5,698.5,702.75,1358.0,0
2026-08-25 11:00,703.0,705.75,698.5,698.75,2695.0,0
2026-08-25 15:00,699.0,699.25,685.0,689.25,11831.0,0
2026-08-25 19:00,688.75,703.75,687.5,702.5,23527.0,0
2026-08-25 23:00,702.5,704.75,699.75,704.5,10628.0,0
2026-08-26 07:00,704.25,715.25,700.75,711.25,5103.0,0
2026-08-26 11:00,711.25,714.0,710.0,712.75,2440.0,0
2026-08-26 15:00,712.75,719.25,712.25,717.25,7021.0,0
2026-08-26 19:00,717.5,734.5,710.5,734.0,37322.0,0
2026-08-26 23:00,734.0,748.25,731.0,748.25,41537.0,0
2026-08-27 07:00,746.5,767.5,741.0,757.75,15591.0,0
2026-08-27 11:00,757.75,759.0,746.75,755.5,10977.0,0
2026-08-27 15:00,755.25,758.0,745.5,750.25,12101.0,0
2026-08-27 19:00,750.5,763.0,743.5,761.5,34545.0,0
2026-08-27 23:00,761.5,764.0,754.25,758.0,18082.0,0
2026-08-28 07:00,758.25,767.0,754.75,762.25,5360.0,0
2026-08-28 11:00,762.5,769.75,758.0,765.75,5820.0,0
2026-08-28 15:00,766.0,772.5,759.5,768.0,6941.0,0
2026-08-28 19:00,768.25,790.25,767.0,788.25,40492.0,0
2026-08-28 23:00,788.5,790.25,775.25,783.5,28996.0,0
2026-08-31 07:00,784.0,784.75,770.0,776.0,8189.0,0
2026-08-31 11:00,776.0,780.75,774.25,776.75,2582.0,0
2026-08-31 15:00,776.75,782.75,770.75,771.25,6325.0,0
2026-08-31 19:00,771.25,774.0,756.5,758.25,40134.0,0
2026-08-31 23:00,758.25,776.5,755.75,775.25,24214.0,0
2026-09-01 07:00,774.75,780.0,767.0,771.25,3641.0,0
2026-09-01 11:00,771.25,787.0,769.0,786.75,6338.0,0
2026-09-01 15:00,786.75,792.25,774.75,776.5,10679.0,0
2026-09-01 19:00,776.25,789.75,774.75,779.25,32199.0,0
2026-09-01 23:00,779.25,787.5,777.5,781.0,20755.0,0
2026-09-02 07:00,782.25,792.5,765.75,768.5,9548.0,0
2026-09-02 11:00,768.25,770.75,764.5,766.5,3988.0,0
2026-09-02 15:00,766.5,773.0,764.75,772.0,5193.0,0
2026-09-02 19:00,771.75,795.0,771.0,784.0,31988.0,0
2026-09-02 23:00,784.0,786.25,773.25,774.75,14767.0,0
2026-09-03 07:00,774.25,776.0,769.75,772.75,2500.0,0
2026-09-03 11:00,773.0,774.75,765.75,770.0,4474.0,0
2026-09-03 15:00,769.75,771.25,740.25,744.75,33757.0,0
2026-09-03 19:00,745.0,751.75,730.5,750.75,50241.0,0
2026-09-03 23:00,751.0,756.25,744.75,752.25,20154.0,0
2026-09-04 07:00,751.75,762.5,748.25,752.0,6100.0,0
2026-09-04 11:00,752.25,756.5,747.25,748.0,4199.0,0
2026-09-04 15:00,748.25,762.5,744.5,755.25,13335.0,0
2026-09-04 19:00,755.25,755.5,752.0,753.75,201.0,0
