Time,Open,High,Low,Close,Volume,OpenInterest
2026-07-07 11:00,457.0,459.5,455.75,458.25,6465.0,0
2026-07-07 15:00,458.25,461.0,457.0,460.75,14248.0,0
2026-07-07 19:00,460.75,461.25,455.5,458.5,77347.0,0
2026-07-07 23:00,458.75,464.75,458.75,463.5,67870.0,0
2026-07-08 07:00,463.25,463.75,460.5,463.0,10868.0,0
2026-07-08 11:00,463.0,464.5,461.5,464.0,5158.0,0
2026-07-08 15:00,463.75,465.75,462.25,463.0,12726.0,0
2026-07-08 19:00,463.25,464.75,457.25,457.75,68869.0,0
2026-07-08 23:00,457.75,458.5,454.5,454.5,47661.0,0
2026-07-09 07:00,454.75,454.75,451.0,451.75,12088.0,0
2026-07-09 11:00,451.75,453.5,450.5,450.75,8050.0,0
2026-07-09 15:00,450.75,452.75,450.25,451.25,11909.0,0
2026-07-09 19:00,451.5,455.5,449.0,454.75,69566.0,0
2026-07-09 23:00,454.5,454.75,451.0,451.75,33148.0,0
2026-07-10 07:00,451.0,452.75,450.0,452.5,5665.0,0
2026-07-10 11:00,452.75,453.25,448.0,448.25,12022.0,0
2026-07-10 15:00,448.25,449.5,447.5,449.25,9501.0,0
2026-07-10 19:00,449.25,457.5,449.0,456.5,98762.0,0
2026-07-10 23:00,456.5,462.0,454.0,460.25,80570.0,0
2026-07-13 07:00,467.0,469.5,466.5,467.5,26658.0,0
2026-07-13 11:00,467.5,468.0,465.75,466.0,6001.0,0
2026-07-13 15:00,466.0,467.25,464.75,467.0,13564.0,0
2026-07-13 19:00,467.0,468.75,463.25,468.0,72763.0,0
2026-07-13 23:00,468.25,468.75,462.25,463.0,49841.0,0
2026-07-14 07:00,462.0,462.25,457.25,459.75,15059.0,0
