Time,Open,High,Low,Close,Volume,OpenInterest
2026-08-11 18:00,478.5,478.5,476.5,476.5,861.0,0
2026-08-11 19:00,476.75,476.75,475.25,475.25,299.0,0
2026-08-11 20:00,475.5,476.0,474.0,475.75,1993.0,0
2026-08-11 21:00,475.75,476.5,474.25,474.25,1943.0,0
2026-08-11 22:00,474.25,475.75,473.25,475.25,1490.0,0
2026-08-11 23:00,475.0,477.25,475.0,476.25,2266.0,0
2026-08-12 00:00,476.25,476.25,474.75,475.0,1733.0,0
2026-08-12 01:00,475.0,476.5,474.5,476.25,2471.0,0
2026-08-12 07:00,476.0,477.5,475.5,476.75,605.0,0
2026-08-12 08:00,476.75,477.0,476.5,476.75,90.0,0
2026-08-12 09:00,476.75,477.75,476.5,477.25,24.0,0
2026-08-12 10:00,477.0,477.0,477.0,477.0,1.0,0
2026-08-12 11:00,477.5,477.5,477.0,477.5,6.0,0
2026-08-12 12:00,477.75,478.75,477.5,478.5,311.0,0
2026-08-12 13:00,478.75,480.0,478.5,479.75,411.0,0
2026-08-12 14:00,480.0,480.25,479.0,479.0,239.0,0
2026-08-12 15:00,479.0,479.5,479.0,479.5,113.0,0
2026-08-12 16:00,479.25,480.25,479.0,480.25,232.0,0
2026-08-12 17:00,480.5,481.5,480.25,480.25,364.0,0
2026-08-12 18:00,480.75,480.75,479.75,480.0,219.0,0
2026-08-12 19:00,480.0,480.0,478.75,479.0,722.0,0
2026-08-12 20:00,479.0,482.75,478.25,482.75,1884.0,0
2026-08-12 21:00,482.75,485.0,482.25,484.75,3136.0,0
2026-08-12 22:00,484.75,485.75,483.5,485.0,2941.0,0
2026-08-12 23:00,486.0,495.0,485.5,492.5,14569.0,0
2026-08-13 00:00,492.75,496.25,492.25,495.75,6244.0,0
2026-08-13 01:00,495.75,497.0,495.5,496.5,3323.0,0
2026-08-13 07:00,495.75,496.5,495.0,495.5,730.0,0
2026-08-13 08:00,495.25,496.5,494.25,494.5,409.0,0
2026-08-13 09:00,494.25,494.5,492.75,493.0,238.0,0
2026-08-13 10:00,493.0,493.5,493.0,493.25,102.0,0
2026-08-13 11:00,493.25,493.5,493.25,493.25,66.0,0
2026-08-13 12:00,493.5,494.0,493.25,493.75,59.0,0
