Time,Open,High,Low,Close,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-05-15 00:00,1195.75,1196.5,1195.0,1195.25,1195.25,1195.25,1.5,Neutral,0.0,1.5,1179.75,1172.25,1219.0,1220.75
2026-05-15 01:00,1195.0,1197.0,1194.0,1194.25,1195.1590909090908,1195.2107843137255,3.0,Bearish,0.0,1.7000000000000002,1179.75,1172.25,1219.0,1220.75
2026-05-15 02:00,1194.25,1194.5,1191.0,1191.75,1194.8491735537189,1195.0750672818149,3.5,Bearish,0.0,1.9400000000000004,1179.75,1172.25,1219.0,1220.75
2026-05-15 03:00,1191.5,1191.75,1190.25,1191.5,1194.5447032306533,1194.934868564881,1.5,Bearish,0.0,1.8813333333333337,1179.75,1172.25,1219.0,1220.75
2026-05-15 04:00,1191.25,1193.0,1189.25,1191.25,1194.2451847551392,1194.790363915278,3.75,Bearish,0.0,2.1304888888888893,1179.75,1172.25,1219.0,1220.75
2026-05-15 05:00,1191.25,1191.75,1187.0,1187.25,1193.6092588683084,1194.4946633695808,4.75,Bearish,0.0,2.4797570370370376,1179.75,1172.25,1219.0,1220.75
2026-05-15 06:00,1187.25,1192.75,1186.0,1189.0,1193.1902353348257,1194.2791863746952,6.75,Bearish,10.055311091234884,3.049122765432099,1179.75,1172.25,1219.0,1220.75
2026-05-15 07:00,1188.75,1190.25,1183.5,1185.25,1192.4683957589325,1193.9251006345112,6.75,Bearish,8.1614761337962,3.542573063374486,1179.75,1172.25,1219.0,1220.75
2026-05-15 08:00,1185.25,1185.5,1179.25,1180.25,1191.3576325081203,1193.3888221782559,6.25,Bearish,6.424136278539862,3.9035633215912213,1179.75,1172.25,1219.0,1220.75
2026-05-15 09:00,1184.75,1190.0,1182.0,1185.25,1190.8023931892003,1193.0696526810693,8.0,Bearish,23.875363816378496,4.683088212045726,1179.75,1172.25,1219.0,1220.75
2026-05-15 10:00,1185.25,1185.25,1178.0,1178.75,1189.7067210810912,1192.5080976739687,7.25,Bearish,18.93232407377043,5.025343117106296,1179.75,1172.25,1219.0,1220.75
2026-05-15 11:00,1178.5,1178.75,1172.75,1176.0,1188.4606555282649,1191.8607212945974,6.0,Bearish,17.300385165881863,5.15529736815879,1179.75,1172.25,1219.0,1220.75
2026-05-15 12:00,1175.75,1176.75,1172.25,1176.0,1187.327868662059,1191.238732224221,4.5,Bearish,17.300385165881863,5.0679243857376175,1179.75,1172.25,1219.0,1220.75
2026-05-15 13:00,1176.0,1178.75,1175.0,1177.75,1186.4571533291444,1190.709762333075,3.75,Bearish,22.246825961246174,4.892201134305935,1179.75,1172.25,1219.0,1220.75
2026-05-15 14:00,1177.75,1178.0,1175.75,1177.0,1185.597412117404,1190.1721245945232,2.25,Bearish,21.64918711240705,4.539907649731811,1179.75,1172.25,1219.0,1220.75
2026-05-17 20:00,1202.25,1209.5,1191.0,1192.75,1186.2476473794582,1190.2732177476792,18.5,Bearish,51.26042143510095,8.267919963100903,1179.75,1172.25,1219.0,1220.75
