Time,Open,High,Low,Close,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-05-15 00:00,657.25,657.5,655.25,655.25,655.25,655.25,2.25,Neutral,100.0,2.25,618.0,609.25,673.25,679.5
2026-05-15 01:00,655.5,658.0,655.5,656.25,655.340909090909,655.2892156862746,2.5,Bullish,100.0,2.316666666666667,618.0,609.25,673.25,679.5
2026-05-15 02:00,656.0,656.25,652.25,653.5,655.1735537190082,655.2190503652442,4.0,Bearish,82.53968253968254,2.5411111111111113,618.0,609.25,673.25,679.5
2026-05-15 03:00,653.5,654.25,651.75,654.0,655.0668670172802,655.171244468568,2.5,Bearish,83.11688311688312,2.53562962962963,618.0,609.25,673.25,679.5
2026-05-15 04:00,654.25,658.5,653.5,657.5,655.2880609248001,655.2625682148987,5.0,Bullish,86.48491457651764,2.8642123456790127,618.0,609.25,673.25,679.5
2026-05-15 05:00,657.5,659.25,655.25,655.5,655.3073281134547,655.2718792652948,4.0,Bullish,77.02859533688306,3.0156506995884778,618.0,609.25,673.25,679.5
2026-05-15 06:00,655.5,658.75,652.25,653.25,655.1202982849587,655.1925898823421,6.5,Bearish,68.01819525901517,3.4802306063100144,618.0,609.25,673.25,679.5
2026-05-15 07:00,653.25,653.25,648.75,650.5,654.7002711681442,655.0085667497012,4.5,Bearish,58.942941801621416,3.6161998588020126,618.0,609.25,673.25,679.5
2026-05-15 08:00,650.5,651.0,647.25,648.0,654.0911556074038,654.7337209948109,3.75,Bearish,52.133069711543484,3.634039877628411,618.0,609.25,673.25,679.5
2026-05-15 09:00,647.75,648.0,639.5,640.75,652.878323279458,654.1853397793282,8.5,Bearish,38.31005888832538,4.28283456061129,618.0,609.25,673.25,679.5
2026-05-15 10:00,640.75,642.0,635.5,636.25,651.3666575267799,653.4819931213153,6.5,Bearish,32.542416331196904,4.5784566191964515,618.0,609.25,673.25,679.5
2026-05-15 11:00,636.0,636.75,632.0,634.0,649.7878704788908,652.7179933910677,4.75,Bearish,30.10214743549598,4.601329069970259,618.0,609.25,673.25,679.5
2026-05-15 12:00,633.75,634.5,631.5,633.5,648.3071549808099,651.964346591418,3.0,Bearish,29.571467180119626,4.387818527307558,618.0,609.25,673.25,679.5
2026-05-15 13:00,633.75,636.5,633.5,635.0,647.097413618918,651.2990780976369,3.0,Bearish,33.36665277532303,4.202776056999884,618.0,609.25,673.25,679.5
2026-05-15 14:00,635.25,636.5,634.25,635.75,646.0658305626526,650.6893103291021,2.25,Bearish,35.24557379479671,3.942405916066566,618.0,609.25,673.25,679.5
2026-05-17 20:00,647.5,655.0,646.0,651.75,646.5825732387751,650.7309060024706,9.0,Bearish,60.70318501259536,5.9834184605910234,618.0,609.25,673.25,679.5
2026-05-17 21:00,651.25,653.75,650.0,650.75,646.9614302170683,650.7316547866875,3.75,Bearish,59.13830247150369,5.685629332512221,618.0,609.25,673.25,679.5
2026-05-17 22:00,650.75,652.0,650.25,651.5,647.3740274700621,650.7617859715233,1.75,Bearish,59.97175856133118,5.160878754843925,618.0,609.25,673.25,679.5
2026-05-17 23:00,651.75,653.75,651.5,653.0,647.8854795182382,650.8495590706793,2.25,Bearish,61.65627517210539,4.772761587531402,618.0,609.25,673.25,679.5
2026-05-18 00:00,653.25,655.5,652.75,655.0,648.5322541074892,651.0123214600644,2.75,Bearish,63.841246098911306,4.503060042527215,618.0,609.25,673.25,679.5
2026-05-18 01:00,654.75,655.25,651.25,652.5,648.8929582795356,651.0706617949639,4.0,Bearish,59.29294622544705,4.435985370190253,618.0,609.25,673.25,679.5
2026-05-18 02:00,653.0,654.75,652.5,654.0,649.3572347995779,651.1855378030045,2.25,Bearish,61.084407071447316,4.144520654164887,618.0,609.25,673.25,679.5
2026-05-18 03:00,653.75,657.0,651.5,656.0,649.9611225450708,651.3743402421024,5.5,Bearish,63.39739349087845,4.325251233609569,618.0,609.25,673.25,679.5
2026-05-18 04:00,655.75,656.75,654.5,656.75,650.5782932227917,651.5851504286867,2.25,Bearish,64.25537152554304,4.048551069128293,618.0,609.25,673.25,679.5
2026-05-18 05:00,656.5,657.25,653.75,653.75,650.8666302025379,651.6700464903068,3.5,Bearish,58.36230594599927,3.975410926577854,618.0,609.25,673.25,679.5
2026-05-18 06:00,653.75,657.25,653.75,657.25,651.4469365477617,651.8888681965693,3.5,Bearish,62.664458111015826,3.9120228030341404,618.0,609.25,673.25,679.5
2026-05-18 07:00,657.25,659.75,653.25,657.5,651.9972150434196,652.1089125810175,6.5,Bearish,62.95885966178753,4.257086429296255,618.0,609.25,673.25,679.5
2026-05-18 08:00,657.75,662.0,657.25,657.75,652.5201954940178,652.3301316954875,4.75,Bullish,63.27075887054978,4.322808238723421,618.0,609.25,673.25,679.5
2026-05-18 09:00,657.75,665.5,652.75,653.0,652.5638140854708,652.3564010407625,12.75,Bullish,53.971785669595924,5.446433806893632,618.0,609.25,673.25,679.5
2026-05-18 10:00,652.75,660.5,652.0,657.75,653.0352855322461,652.5679147254385,8.5,Bullish,60.261464803097944,5.85357596597448,618.0,609.25,673.25,679.5
2026-05-18 11:00,657.75,663.5,657.5,662.75,653.918441392951,652.9672121871861,6.0,Bullish,65.59151174780605,5.8730991705112165,618.0,609.25,673.25,679.5
2026-05-18 12:00,663.0,664.75,661.0,663.5,654.78949217541,653.3802626896494,3.75,Bullish,66.32122364328168,5.590019281109721,618.0,609.25,673.25,679.5
2026-05-18 13:00,663.5,666.0,661.75,663.0,655.5359019776455,653.7575072900553,4.25,Bullish,65.32657623449498,5.411350043628425,618.0,609.25,673.25,679.5
2026-05-18 14:00,663.25,665.75,662.5,664.75,656.3735472524049,654.1885854355434,3.25,Bullish,67.18175071824328,5.123170037811302,618.0,609.25,673.25,679.5
2026-05-18 20:00,666.0,670.5,664.0,665.75,657.2259520476408,654.6419742419927,6.5,Bullish,68.2278695184873,5.306747366103128,618.0,609.25,673.25,679.5
2026-05-18 21:00,666.0,673.25,666.0,670.25,658.4099564069461,655.2540536834831,7.25,Bullish,72.47919137073886,5.599181050622711,618.0,609.25,673.25,679.5
2026-05-18 22:00,670.5,671.0,668.0,669.75,659.4408694608601,655.8225221664837,3.0,Bullish,71.33701090178246,5.25262357720635,618.0,609.25,673.25,679.5
2026-05-18 23:00,669.75,670.75,669.75,670.5,660.4462449644183,656.398109532504,1.0,Bullish,72.0485546424148,4.685607100245504,618.0,609.25,673.25,679.5
2026-05-19 00:00,670.75,671.5,669.5,670.0,661.3147681494711,656.9315170018176,2.0,Bullish,70.78694009563479,4.327526153546104,618.0,609.25,673.25,679.5
2026-05-19 01:00,670.25,673.75,669.75,673.25,662.3997892267919,657.5714575115502,4.0,Bullish,73.97672505049822,4.283855999739957,618.0,609.25,673.25,679.5
2026-05-19 02:00,673.0,679.5,672.75,678.5,663.863444751629,658.39218466796,6.75,Bullish,78.13082853729539,4.612675199774629,618.0,609.25,673.25,679.5
2026-05-19 03:00,678.75,679.25,672.75,673.75,664.7622225014809,658.9944519358831,6.5,Bullish,67.61428947379827,4.864318506471346,618.0,609.25,673.25,679.5
2026-05-19 04:00,673.5,675.0,666.75,668.5,665.1020204558916,659.3672185266329,8.25,Bullish,58.27742340944435,5.3157427056085,618.0,609.25,673.25,679.5
2026-05-19 05:00,668.5,672.5,668.25,669.75,665.5245640508106,659.7743864275492,4.25,Bullish,59.704205839829285,5.173643678194033,618.0,609.25,673.25,679.5
2026-05-19 06:00,669.75,672.25,668.0,671.75,666.0905127734642,660.2440183323512,4.25,Bullish,61.94646742935158,5.050491187768162,618.0,609.25,673.25,679.5
2026-05-19 07:00,672.0,673.25,668.5,669.25,666.3777388849675,660.5971940840237,4.75,Bullish,57.629617126736626,5.01042569606574,618.0,609.25,673.25,679.5
2026-05-19 08:00,669.75,670.0,665.5,665.5,666.2979444408795,660.7894609826895,4.5,Bullish,51.79859890507395,4.942368936590308,618.0,609.25,673.25,679.5
2026-05-19 09:00,665.75,671.5,663.25,667.5,666.4072222189814,661.0526193755252,8.25,Bullish,54.445935758744504,5.3833864117116,618.0,609.25,673.25,679.5
2026-05-19 10:00,667.75,669.25,663.5,665.75,666.3474747445284,661.2368303804066,5.75,Bullish,51.76680657954532,5.432268223483386,618.0,609.25,673.25,679.5
2026-05-19 11:00,665.5,670.25,665.25,668.75,666.5658861313894,661.5314644831358,5.0,Bullish,55.78359966804466,5.374632460352268,618.0,609.25,673.25,679.5
2026-05-19 12:00,668.75,669.5,667.0,669.5,666.8326237558085,661.8439560720325,2.5,Bullish,56.75324227347817,4.9913481323052995,618.0,609.25,673.25,679.5
2026-05-19 13:00,669.5,670.25,661.0,662.5,666.4387488689168,661.869683284894,9.25,Bullish,46.50306562344643,5.55916838133126,618.0,609.25,673.25,679.5
2026-05-19 14:00,662.5,668.0,662.5,668.0,666.5806807899244,662.110087861957,5.5,Bullish,53.594859400246186,5.551279263820425,618.0,609.25,673.25,679.5
2026-05-19 20:00,668.25,671.25,664.25,664.75,666.4142552635676,662.2136138281548,7.0,Bullish,49.425373431141324,5.744442028644369,618.0,609.25,673.25,679.5
2026-05-19 21:00,665.0,666.5,661.75,662.75,666.0811411486978,662.2346485799919,4.75,Bullish,47.002070601949356,5.611849758158453,618.0,609.25,673.25,679.5
2026-05-19 22:00,662.25,663.5,661.25,662.25,665.7328555897253,662.2352505964628,2.25,Bullish,46.38971439981051,5.163603123737325,618.0,609.25,673.25,679.5
2026-05-19 23:00,662.25,663.5,661.5,661.5,665.3480505361139,662.2064172397389,2.0,Bullish,45.43353452838387,4.741789373905682,618.0,609.25,673.25,679.5
