Time,Open,High,Low,Close,EMA_21,EMA_50,Volatility,Signal,RSI,ATR,S1,S2,R1,R2
2026-05-21 00:00,1196.5,1197.5,1196.25,1196.75,1196.75,1196.75,1.25,Neutral,0.0,1.25,1161.5,1120.5,1201.5,1204.0
2026-05-21 01:00,1196.75,1196.75,1195.5,1196.0,1196.6818181818182,1196.7205882352941,1.25,Bearish,0.0,1.25,1161.5,1120.5,1201.5,1204.0
2026-05-21 02:00,1196.0,1197.0,1195.25,1196.25,1196.642561983471,1196.7021337946944,1.75,Bearish,2.499999999999986,1.3166666666666669,1161.5,1120.5,1201.5,1204.0
2026-05-21 03:00,1196.5,1198.25,1196.5,1197.5,1196.7205108940645,1196.7334226654907,1.75,Bearish,14.06779661016948,1.407777777777778,1161.5,1120.5,1201.5,1204.0
2026-05-21 04:00,1197.75,1198.75,1197.0,1197.25,1196.7686462673312,1196.7536806001774,1.75,Bullish,13.71726417493008,1.4534074074074077,1161.5,1120.5,1201.5,1204.0
2026-05-21 05:00,1197.25,1197.25,1192.25,1192.25,1196.3578602430284,1196.5770656746802,5.0,Bearish,8.926548638776111,1.9262864197530867,1161.5,1120.5,1201.5,1204.0
2026-05-21 06:00,1192.25,1201.0,1191.0,1200.5,1196.7344184027531,1196.7309062364575,10.0,Bullish,43.80212546540999,3.0027815637860087,1161.5,1120.5,1201.5,1204.0
2026-05-21 07:00,1200.5,1201.0,1197.0,1197.5,1196.8040167297754,1196.7610667762044,4.0,Bullish,38.09005914932579,3.135744021947874,1161.5,1120.5,1201.5,1204.0
2026-05-21 08:00,1197.25,1202.0,1197.25,1199.75,1197.0718333907048,1196.8782798438042,4.75,Bullish,43.98953196839778,3.3509781523548243,1161.5,1120.5,1201.5,1204.0
2026-05-21 09:00,1200.0,1201.75,1193.25,1194.5,1196.838030355186,1196.7850139675766,8.5,Bullish,35.491179856565054,4.037514398707515,1161.5,1120.5,1201.5,1204.0
2026-05-21 10:00,1194.75,1199.25,1194.5,1198.75,1197.0118457774417,1196.862072243358,4.75,Bullish,44.78980922787093,4.132512478879846,1161.5,1120.5,1201.5,1204.0
